买量,买价,最新价,卖价,卖量,持仓量,振幅,涨跌幅,行权价
1,0.2889,0.29,0.29,21,2724,0.2253,-0.3064,2.25
1,0.2443,0.2443,0.2445,1,4574,0.228,-0.3345,2.3
3,0.198,0.198,0.1998,1,4966,0.2583,-0.3764,2.35
16,0.153,0.1531,0.1531,15,11678,0.2719,-0.433,2.4
1,0.1123,0.1126,0.1126,16,17016,0.2863,-0.4939,2.45
27,0.0777,0.0778,0.0779,43,34783,0.3286,-0.5607,2.5
31,0.0497,0.05,0.05,259,49693,0.3606,-0.6342,2.55
20,0.0331,0.0332,0.0332,17,95561,0.3732,-0.666,2.6
98,0.0201,0.0201,0.0203,9,107702,0.4043,-0.7087,2.65
11,0.0123,0.0123,0.0124,62,99496,0.45,-0.7326,2.7
39,0.0072,0.0072,0.0073,75,91167,0.4124,-0.7526,2.75
50,0.0041,0.0041,0.0043,1,52345,0.4068,-0.7684,2.8
55,0.0024,0.0024,0.0025,1,59714,0.38,-0.76,2.85
